Date,Close
2023-08-08,145.91000400000001
2023-08-09,142.490005
2023-08-10,143.25
2023-08-11,143.119995
2023-08-14,141.91000400000001
2023-08-15,141.869995
2023-08-16,140.639999
2023-08-17,140.66000400000001
2023-08-18,141.41000400000001
2023-08-21,142.279999
2023-08-22,141.490005
2023-08-23,143.41000400000001
2023-08-24,143.550003
2023-08-25,145.350006
2023-08-28,146.020004
2023-08-29,146.449997
2023-08-30,146.860001
2023-08-31,146.830002
2023-09-01,147.940002
2023-09-05,148.130005
2023-09-06,148.059998
2023-09-07,147.520004
2023-09-08,147.679993
2023-09-11,148.380005
2023-09-12,146.300003
2023-09-13,146.550003
2023-09-14,147.350006
2023-09-15,145.990005
2023-09-18,145.08999599999999
2023-09-19,146.520004
2023-09-20,149.830002
2023-09-21,147.380005
2023-09-22,146.91000400000001
2023-09-25,146.479996
2023-09-26,143.240005
2023-09-27,143.169998
2023-09-28,141.580002
2023-09-29,140.300003
2023-10-02,140.800003
2023-10-03,140.389999
2023-10-04,141.070007
2023-10-05,141.520004
2023-10-06,142.029999
2023-10-09,142.199997
2023-10-10,142.110001
2023-10-11,143.229996
2023-10-12,141.240005
2023-10-13,138.46000700000002
2023-10-16,139.21000700000002
2023-10-17,140.320007
2023-10-18,139.970001
2023-10-19,138.009995
2023-10-20,137.16000400000001
2023-10-23,136.380005
2023-10-24,137.78999299999998
2023-10-25,137.080002
2023-10-26,143.759995
2023-10-27,142.520004
2023-10-30,142.630005
2023-10-31,144.639999
2023-11-01,145.399994
2023-11-02,147.009995
2023-11-03,147.899994
2023-11-06,148.970001
2023-11-07,148.830002
2023-11-08,148.029999
2023-11-09,146.619995
2023-11-10,149.020004
2023-11-13,148.100006
2023-11-14,150.41000400000001
2023-11-15,152.580002
2023-11-16,153.059998
2023-11-17,152.889999
2023-11-20,154.350006
2023-11-21,153.91000400000001
2023-11-22,155.130005
2023-11-24,155.179993
2023-11-27,155.570007
2023-11-28,155.649994
2023-11-29,156.41000400000001
2023-11-30,158.559998
2023-12-01,160.550003
2023-12-04,161.100006
2023-12-05,161.389999
2023-12-06,160.279999
2023-12-07,160.220001
2023-12-08,161.96000700000002
2023-12-11,163.509995
2023-12-12,164.71000700000002
2023-12-13,163.619995
2023-12-14,162.91000400000001
2023-12-15,162.229996
2023-12-18,162.740005
2023-12-19,161.559998
2023-12-20,160.050003
2023-12-21,160.779999
2023-12-22,162.139999
2023-12-26,163.21000700000002
2023-12-27,163.46000700000002
2023-12-28,163.75
2023-12-29,163.550003
2024-01-02,161.5
2024-01-03,160.100006
2024-01-04,160.860001
2024-01-05,159.16000400000001
2024-01-08,161.139999
2024-01-09,160.080002
2024-01-10,161.229996
2024-01-11,162.16000400000001
2024-01-12,165.800003
2024-01-16,166.96000700000002
2024-01-17,166.080002
2024-01-18,166.83999599999999
2024-01-19,171.479996
2024-01-22,172.830002
2024-01-23,173.940002
2024-01-24,173.929993
2024-01-25,190.429993
