,0

279,0.09850334

280,0.18666667

281,0.16666667

282,0.116235

283,0.175

284,0.116665

285,0.157775

286,0.17139833

287,0.18166667

288,0.08510666

289,0.225

290,0.25833333

291,0.201

292,0.21666667

293,0.15

294,0.28333333

295,0.25

296,0.17016667

297,0.1415

298,0.2277

299,0.1656

300,0.196315

301,0.17450333

302,0.24333334

303,0.205

304,0.08725166

305,0.165

306,0.19333333

307,0.1771

308,0.21083333

309,0.40333334

310,0.33333334

311,0.109063335

312,0.06543833

313,0.13087666

314,0.08725166

315,0.27536666

316,0.076345

317,0.20026666

318,0.15053333

319,0.30323333

320,0.22053333

321,0.36685

322,0.2668

323,0.3

324,0.2

325,0.20698333

326,0.21666667

327,0.18333334

328,0.28333333

329,0.1925

330,0.18816666

331,0.15053333

332,0.18816666

333,0.15053333

334,0.27566665

335,0.22053333

336,0.27833334

337,0.4065

338,0.22766666

339,0.18213333

340,0.21479167

341,0.15616667

342,0.37333333

343,0.27979165

344,0.29166666

345,0.261

346,0.18133333

347,0.15925

348,0.18833333

349,0.225

350,0.26890334

351,0.22856833

352,0.27833334

353,0.205

354,0.13087666

355,0.109063335

356,0.25

357,0.3525

358,0.32066667

359,0.15116666

360,0.21666667

361,0.10216667

362,0.21666667

363,0.10216667

364,0.26666668

365,0.231

366,0.22666667

367,0.096666664

368,0.225

369,0.28333333

370,0.205

371,0.31608334

372,0.27499333

373,0.091595

374,0.091595

375,0.19697833

376,0.22

377,0.27566665

378,0.34795833

379,0.24633333

380,0.22832334

381,0.16928333

382,0.21479167

383,0.15616667

384,0.13173167

385,0.22053333

386,0.06216667

387,0.27333334

388,0.25833333

389,0.20722167

390,0.16359666

391,0.2

392,0.18816666

393,0.15053333

394,0.24166666

395,0.17566666

396,0.14655334

397,0.196315

398,0.35883334

399,0.26366666

400,0.3485

401,0.25766668

402,0.19322333

403,0.13611

404,0.29166666

405,0.16359666

406,0.096666664

407,0.306

408,0.08725166

409,0.3

410,0.11997

411,0.076345

412,0.109915

413,0.082435

414,0.13087666

415,0.09815667

416,0.43333334

417,0.1

418,0.1065

419,0.26666668

420,0.18716666

421,0.40166667

422,0.265

423,0.3

424,0.13333334

425,0.13816667

426,0.168

427,0.082435

428,0.234

429,0.06543833

430,0.07327667

431,0.054956667

432,0.14655334

433,0.12823333

434,0.17450333

435,0.15269

436,0.109915

437,0.14655334

438,0.31608334

439,0.27499333

440,0.07327667

441,0.054956667

442,0.16359666

443,0.13087666

444,0.35883334

445,0.12823333

446,0.3485

447,0.25766668

448,0.3

449,0.036638334

450,0.13333334

451,0.13131833

452,0.32829833

453,0.2

454,0.20833333

455,0.06206

456,0.175

457,0.14655334

458,0.030736666

459,0.05269167

460,0.09709167

461,0.16666667

462,0.091595

463,0.030736666

464,0.27112332

465,0.2

466,0.24

467,0.17481667

468,0.16666667

469,0.23333333

470,0.225

471,0.083333336

472,0.36666667

473,0.23333333

474,0.30538

475,0.15269

476,0.3085

477,0.36666667

478,0.33333334

479,0.2

480,0.2

481,0.108333334

482,0.54

483,0.36

484,0.35

485,0.2

486,0.38333333

487,0.16666667

488,0.16666667

489,0.053125

490,0.33333334

491,0.125

492,0.059316665

493,0.13131833

494,0.16666667

495,0.255

496,0.096725

497,0.275

498,0.15571167

499,0.08732667

500,0.10441833

501,0.054956667

502,0.06666667

503,0.14570834

504,0.19166666

505,0.144505

506,0.125

507,0.10808167

508,0.2

509,0.26166666

510,0.25

511,0.11818667

512,0.108333334

513,0.11907333

514,0.033333335

515,0.08

516,0.25416666

517,0.113578334

518,0.20391

519,0.6333333

520,0.11556

521,0.016666668

522,0.033333335

523,0.675

524,0.225

525,0.295

526,0.13

527,0.225

528,0.16666667

529,0.15053333

530,0.14166667

531,0.125

532,0.35666665

533,0.321

534,0.444

535,0.3552

536,0.18816666

537,0.25833333

538,0.2355

539,0.17016667

540,0.19322333

541,0.13611

542,0.34449834

543,0.16516666

544,0.21666667

545,0.19166666

546,0.18416667

547,0.21666667

548,0.16508333

549,0.26666668

550,0.34216666

551,0.234

552,0.29333332

553,0.24

554,0.3335

555,0.26666668

556,0.24166666

557,0.1175

558,0.34216666

559,0.234

560,0.34216666

561,0.30783334

562,0.29183334

563,0.23375

564,0.19358334

565,0.09

566,0.28333333

567,0.109063335

568,0.13333334

569,0.23333333

570,0.35

571,0.23333333

572,0.16666667

573,0.115

574,0.35

575,0.23333333

576,0.35

577,0.250125

578,0.16666667

579,0.041666668

580,0.21083333

581,0.1771

582,0.36685

583,0.2668

584,0.175

585,0.184875

586,0.076345

587,0.23333333

588,0.165

589,0.1

590,0.32094

591,0.24142334

592,0.38333333

593,0.25

594,0.25043333

595,0.18213333

596,0.35

597,0.28333333

598,0.26666668

599,0.21666667

600,0.111666664

601,0.086666666

602,0.25666666

603,0.21

604,0.215

605,0.25

606,0.33333334

